Instance,Income
111994,418635.3288727216
111995,719339.5108970817
111996,428734.33023976313
111997,29336.597631033368
111998,19962.1485045584
111999,2028308.125736235
112000,122753.93082784484
112001,2993609.3363249656
112002,878882.0947651494
112003,30299.257523219723
112004,336661.27499533625
112005,336586.11536670866
112006,27043.12396431045
112007,1648373.8233128213
112008,750864.372596835
112009,153265.5643795892
112010,499443.1381505605
112011,941007.5056932308
112012,185433.32938258094
112013,917516.0594700151
112014,53721.61450973049
112015,608789.4462164197
112016,338271.1834719544
112017,433293.34795313346
112018,17134.12553952365
112019,502558.1381687427
112020,730905.39697195
112021,182187.24894294282
112022,141914.39150017823
112023,58855.77908902199
112024,658747.9370910713
112025,1775956.6637980454
112026,928009.8961045268
112027,56805.69131807736
112028,47359.80694468988
112029,8631.093232088033
112030,282769.26053956104
112031,382772.03090207773
112032,139012.31488252207
112033,304807.04016365064
112034,220544.59769788376
112035,26151.09893739194
112036,1090873.091050133
112037,160029.1701589272
112038,29344.151973762066
112039,2186298.3016854813
112040,40092.48487697331
112041,788171.7738037193
112042,289882.40051749075
112043,356354.0520887297
112044,171013.88494961464
112045,201939.59102559127
112046,22735.93984139516
112047,109335.33571625716
112048,1006905.1955812019
112049,638543.3633483497
112050,24823.770801944753
112051,97381.4386575816
112052,70734.6913497818
112053,71070.91083004151
112054,54906.53790411606
112055,489620.03227883525
112056,1073533.9724105708
112057,188413.73361924014
112058,39248.582133974494
112059,211463.76961007886
112060,520268.00943764346
112061,1464826.000923356
112062,427019.04011854203
112063,2137093.242325901
112064,14545.746060767988
112065,30628.35226091197
112066,32856.427657849636
112067,196064.48223097206
112068,1023322.6909098296
112069,208604.51785033735
112070,1072436.186728372
112071,1224098.8632917642
112072,606263.3987205685
112073,300573.9387322589
112074,207633.17232699855
112075,136892.72019710403
112076,41234.07068774907
112077,1034908.7549458978
112078,11644.375703666597
112079,567486.5559033522
112080,194029.65293055683
112081,1162068.8971986105
112082,212439.29538083114
112083,273010.34937435377
112084,14983.367943005282
112085,1128673.0100142665
112086,731563.886555284
112087,331415.1766635693
112088,575697.2958224011
112089,582822.2915834744
112090,90850.29357948569
112091,132984.27127091767
112092,421860.98910282867
112093,25000.04965320317
112094,182130.47252869766
112095,386331.601800246
112096,75938.11660791593
112097,3201340.1301026577
112098,159767.47066960047
112099,1443427.4064578812
112100,236821.58599864604
112101,272565.7842946849
112102,169990.66940222622
112103,403244.2841606725
112104,24633.108477760103
112105,81003.2105821738
112106,87497.49186758617
112107,1471488.0470029444
112108,816188.7519438146
112109,24963.26125074484
112110,619504.4449802968
112111,588590.4204441671
112112,42229.82333643564
112113,939655.620976362
112114,189753.46597826143
112115,219756.11662759678
112116,393644.3254576402
112117,753165.7143829138
112118,349481.1271416635
112119,28961.640398921063
112120,116086.49277631096
112121,173568.50204792898
112122,926941.3000260844
112123,361676.16917540494
112124,988358.6102035795
112125,43705.91181766176
112126,1293534.6723064042
112127,115888.26120709801
112128,1295712.033378107
112129,834243.0461907996
112130,310813.460734672
112131,66273.13205255615
112132,2210064.816202143
112133,590402.8476769404
112134,409508.3950082962
112135,467338.12604279036
112136,1161072.117014403
112137,236631.6093573459
112138,9175.843287647836
112139,74544.52205311597
112140,882804.6959431098
112141,818734.4577128356
112142,1806158.5219448518
112143,324255.7492298921
112144,12623.989794973191
112145,26895.799030169237
112146,949225.634630454
112147,590284.2604217188
112148,1148336.0338676223
112149,464033.96530171204
112150,12423.14228662458
112151,1319278.9472196777
112152,611090.3120950336
112153,347481.5817165822
112154,243703.05929522114
112155,451466.92537137726
112156,1075790.3178314548
112157,47652.479575864236
112158,274811.6254983757
112159,645902.47686778
112160,213243.90660955786
112161,593779.295294264
112162,525387.5947378404
112163,82949.50150823536
112164,582693.4226080382
112165,1791776.0705683203
112166,919114.9897607522
112167,23997.100365439263
112168,493644.2895578233
112169,63427.71550156014
112170,822280.8549601733
112171,691103.3230505645
112172,116732.60188209705
112173,595547.3323362916
112174,875463.3526620546
112175,417980.9872121051
112176,406088.7917348161
112177,439399.3145524525
112178,12367.438499071975
112179,25400.037353265005
112180,519168.87554459466
112181,590354.8716379673
112182,96632.53130849644
112183,2062137.7615409358
112184,2864540.447083101
112185,851756.8258295999
112186,65249.13162012772
112187,76092.93660195585
112188,194194.79246417445
112189,289585.102502077
112190,220530.46002896363
112191,149619.35869435506
112192,35187.87121447903
112193,474130.6137551859
112194,1659876.4647157432
112195,349421.4528872884
112196,117305.1792518398
112197,1307738.1155855693
112198,1470858.8874387885
112199,1014091.3645240016
112200,294026.59803999506
112201,4477376.482219028
112202,133448.93271918967
112203,1290733.131679725
112204,1416512.7286540219
112205,503657.80084844795
112206,137101.69530284466
112207,65910.93252693153
112208,820206.2176046497
112209,1237654.351683885
112210,645906.9467170537
112211,1307158.0475867456
112212,2059202.975764701
112213,39632.64504252232
112214,45077.45260658373
112215,599150.0179567126
112216,2637076.86542811
112217,44642.51284539943
112218,699410.9698510661
112219,972598.6641206408
112220,551483.2276444994
112221,38334.138149320366
112222,772427.6472337436
112223,855968.4291749587
112224,38781.23227028065
112225,47772.08471458611
112226,36237.28316855688
112227,96534.31541152693
112228,508549.13105857756
112229,1877463.5611834426
112230,1130172.2691838655
112231,103127.98457788698
112232,31303.781588784794
112233,344149.3127483137
112234,850979.9477657829
112235,256288.39274644488
112236,32560.512731366387
112237,353022.69004740607
112238,41381.87517950244
112239,214180.34154625065
112240,684485.1927721404
112241,25941.626773710068
